,Georgia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brigitte Ardossi,10,22,10,22,0,0,6,7,1,1,0,2,0,4,3,26,0.2727272727272727,0.0
1,Deja Foster,5,11,5,10,0,1,0,0,4,1,3,0,0,2,4,10,0.0,1.5
2,Alex Montgomery,2,12,2,9,0,3,0,0,2,11,1,0,1,2,4,4,0.0,0.5
3,Sasha Goodlett,4,10,4,10,0,0,0,0,4,3,0,2,2,4,1,8,0.0,0.0
4,Jasmine Blain,1,4,0,1,1,3,0,0,0,0,1,3,0,0,4,3,0.0,0.0
10,School Totals,23,62,22,55,1,7,6,8,13,22,7,9,4,16,20,53,0.0967741935483871,0.4375
