,Missouri State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Danielle Gitzen,7,15,5,12,2,3,4,8,3,5,6,0,1,0,1,20,0.26666666666666666,0.0
1,Brice Calip,2,6,2,4,0,2,8,9,1,4,3,1,0,4,1,12,1.3333333333333333,0.75
2,Alexa Willard,9,17,7,12,2,5,0,0,2,2,2,0,0,2,0,20,0.0,1.0
3,Abby Hipp,4,5,3,4,1,1,0,0,1,1,1,1,0,2,1,9,0.0,0.5
4,Jasmine Franklin,2,4,2,4,0,0,0,0,1,5,0,2,0,1,4,4,0.0,0.0
10,School Totals,32,61,21,41,11,20,14,19,10,27,18,6,1,18,12,89,0.22950819672131148,1.0
