,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kathleen Doyle,3,11,1,7,2,4,2,2,1,2,6,4,0,2,5,10,0.18181818181818182,3.0
1,Megan Gustafson,9,17,9,17,0,0,5,10,0,9,0,0,1,5,0,23,0.29411764705882354,0.0
2,Tania Davis,3,11,2,8,1,3,3,4,0,3,2,0,0,4,2,10,0.2727272727272727,0.5
3,Makenzie Meyer,0,5,0,3,0,2,2,2,1,1,1,2,0,2,3,2,0.4,0.5
4,Hannah Stewart,3,10,3,10,0,0,2,2,1,3,2,4,0,2,3,8,0.2,1.0
10,School Totals,18,56,15,46,3,10,14,20,5,18,12,11,1,16,14,53,0.25,0.75
