,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Paige Bueckers,9,13,8,11,1,2,5,6,0,9,6,4,2,2,1,24,0.38461538461538464,3.0
1,Evina Westbrook,4,9,3,6,1,3,1,1,1,6,4,1,1,1,2,10,0.1111111111111111,4.0
2,Olivia Nelson-Ododa,9,17,9,17,0,0,4,5,3,4,4,0,0,3,3,22,0.23529411764705882,1.3333333333333333
3,Christyn Williams,5,9,4,7,1,2,2,3,0,6,3,0,0,1,3,13,0.2222222222222222,3.0
4,Nika Muhl,1,2,1,2,0,0,0,0,0,1,1,2,0,1,1,2,0.0,1.0
11,School Totals,42,71,39,62,3,9,15,20,14,37,23,7,5,11,16,102,0.2112676056338028,2.090909090909091
