,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Que Morrison,6,11,5,9,1,2,3,4,0,8,7,2,1,3,1,16,0.2727272727272727,2.3333333333333335
1,Mikayla Coombs,0,3,0,3,0,0,0,0,1,1,1,2,1,1,1,0,0.0,1.0
2,Sarah Ashlee Barker,1,5,1,2,0,3,2,2,1,5,6,2,0,3,1,4,0.4,2.0
3,Jenna Staiti,8,14,8,14,0,0,3,4,2,6,1,0,3,2,2,19,0.21428571428571427,0.5
4,Javyn Nicholson,0,3,0,3,0,0,2,2,2,3,1,0,0,0,0,2,0.6666666666666666,0.0
10,School Totals,24,60,23,54,1,6,21,30,15,29,17,7,6,15,7,70,0.35,1.1333333333333333
