,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Walker,9,12,9,11,0,1,7,9,0,3,2,2,0,3,3,25,0.5833333333333334,0.6666666666666666
1,Tori Scott,5,12,5,11,0,1,0,0,0,3,2,1,0,1,2,10,0.0,2.0
2,Jordan Jones,4,9,4,9,0,0,3,5,1,3,6,5,0,6,3,11,0.3333333333333333,1.0
3,Courtney Williams,6,11,6,11,0,0,3,5,2,5,1,0,1,1,3,15,0.2727272727272727,1.0
4,Karla Gilbert,3,3,3,3,0,0,5,6,1,4,0,1,0,0,4,11,1.6666666666666667,0.0
12,School Totals,33,55,33,53,0,2,18,27,8,29,13,10,3,17,21,84,0.32727272727272727,0.7647058823529411
