,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Megan Rogowski,5,13,2,4,3,9,1,2,0,0,2,0,0,2,1,14,0.07692307692307693,1.0
1,Megan Podkowa,5,9,5,6,0,3,1,2,4,5,1,0,4,1,4,11,0.1111111111111111,1.0
2,Brittany Hrynko,1,5,1,4,0,1,1,2,0,1,4,0,0,4,4,3,0.2,1.0
3,Jasmine Penny,10,16,10,16,0,0,4,8,3,4,0,1,1,4,4,24,0.25,0.0
4,Chanise Jenkins,1,7,0,3,1,4,0,0,1,1,4,1,0,2,2,3,0.0,2.0
14,School Totals,25,62,21,42,4,20,11,18,9,18,12,5,5,17,21,65,0.1774193548387097,0.7058823529411765
