,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kaleena Mosqueda-Lewis,4,6,1,1,3,5,2,2,1,7,3,1,1,2,2,13,0.3333333333333333,1.5
1,Stefanie Dolson,3,4,3,4,0,0,5,6,2,4,6,0,1,3,1,11,1.25,2.0
2,Breanna Stewart,8,17,7,13,1,4,2,4,0,10,4,1,2,2,1,19,0.11764705882352941,2.0
3,Bria Hartley,6,9,4,5,2,4,2,2,0,3,4,0,0,3,2,16,0.2222222222222222,1.3333333333333333
4,Moriah Jefferson,6,10,4,7,2,3,0,0,2,3,4,5,0,2,2,14,0.0,2.0
10,School Totals,32,58,21,36,11,22,12,17,8,39,25,7,7,17,15,87,0.20689655172413793,1.4705882352941178
