,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Kentucky ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Gabrielle Rush,40,.786,.786,.786,.000,0.0,3.8,1.6,18.2,0.0,0.0,17.6,20.1,135,128,
1,Carlie Littlefield,40,.593,.643,.286,.429,0.0,15.4,6.6,11.5,2.9,0.0,19.4,12.2,108,120,
2,Grace Stone,38,.759,.667,.000,.667,3.0,16.2,8.6,15.1,1.5,0.0,34.0,7.3,125,122,
3,Bella Alarie,35,.379,.333,.167,.208,19.6,39.6,28.1,27.4,1.6,3.2,13.2,40.7,95,116,
4,Sydney Jordan,27,.684,.636,.000,.273,16.9,5.7,12.1,7.5,2.1,4.1,14.0,25.0,132,119,
6,Taylor Baur,13,.333,.333,.333,.000,17.6,23.7,20.2,11.4,0.0,0.0,25.0,14.5,86,125,
7,Julia Cunningham,7,.000,.000,.500,.000,16.3,0.0,9.4,0.0,0.0,0.0,33.3,20.2,20,129,
8,School Totals,200,.549,.523,.297,.203,40.0,80.8,57.4,60.0,7.1,5.6,17.6,100.0,110.0,117.1,
