,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maddie Manning,5,11,4,8,1,3,1,2,0,7,3,1,3,4,3,12,0.09090909090909091,0.75
1,Peyton Little,7,12,3,5,4,7,2,2,0,5,2,1,0,0,2,20,0.16666666666666666,0.0
2,Gioya Carter,2,6,2,4,0,2,2,2,1,0,1,0,0,1,1,6,0.3333333333333333,1.0
3,Gabbi Ortiz,2,4,1,1,1,3,1,2,2,3,1,2,0,1,0,6,0.25,1.0
4,Kaylon Williams,3,6,3,6,0,0,2,2,1,4,1,0,3,1,2,8,0.3333333333333333,1.0
11,School Totals,22,51,16,35,6,16,11,14,5,31,11,6,13,15,13,61,0.21568627450980393,0.7333333333333333
