,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Meighan Simmons,7,10,5,6,2,4,2,3,0,2,3,0,0,1,2,18,0.2,3.0
1,Shekinna Stricklen,3,10,3,8,0,2,4,6,2,8,4,2,5,1,2,10,0.4,4.0
2,Angie Bjorklund,2,9,1,5,1,4,2,2,0,3,0,0,0,0,1,7,0.2222222222222222,0.0
3,Glory Johnson,7,10,7,10,0,0,2,4,0,6,2,1,0,1,2,16,0.2,2.0
4,Taber Spani,3,3,2,2,1,1,0,0,2,1,1,1,0,1,1,7,0.0,1.0
9,School Totals,30,58,25,46,5,12,14,19,11,29,13,6,9,10,12,79,0.2413793103448276,1.3
