,California ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Boyd,3,8,2,6,1,2,10,12,2,7,10,1,0,4,2,17,1.25,2.5
1,Mercedes Jefflo,8,21,2,9,6,12,0,0,2,1,3,1,0,5,1,22,0.0,0.6
2,Gabby Green,2,8,0,4,2,4,0,0,0,3,1,3,0,3,2,6,0.0,0.3333333333333333
3,Mikayla Cowling,3,5,3,5,0,0,0,0,0,6,1,0,0,3,4,6,0.0,0.3333333333333333
4,Reshanda Gray,3,6,3,6,0,0,1,2,2,1,0,0,1,3,5,7,0.16666666666666666,0.0
7,School Totals,24,60,13,35,11,25,11,16,9,21,16,6,1,20,17,70,0.18333333333333332,0.8
