,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,A'dia Mathies,2,12,2,10,0,2,4,4,4,3,4,1,0,1,3,8,0.3333333333333333,4.0
1,Bria Goss,2,4,1,1,1,3,7,8,0,0,0,0,0,1,4,12,1.75,0.0
2,Kastine Evans,4,8,2,4,2,4,0,0,3,0,0,2,0,0,3,10,0.0,0.0
3,Amber Smith,2,6,1,3,1,3,4,4,0,1,0,1,0,2,2,9,0.6666666666666666,0.0
4,Samantha Drake,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0
12,School Totals,19,61,13,40,6,21,21,22,12,9,8,8,1,10,22,65,0.3442622950819672,0.8
