,Missouri State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kenzie Williams,6,19,3,13,3,6,3,5,2,6,3,4,1,1,3,18,0.15789473684210525,3.0
1,Audrey Holt,0,3,0,1,0,2,1,2,0,4,1,1,0,2,2,1,0.3333333333333333,0.5
2,Tyonna Snow,8,19,8,19,0,0,6,9,2,0,1,2,0,2,2,22,0.3157894736842105,0.5
3,Hillary Chvatal,3,4,2,2,1,2,1,2,2,1,0,0,0,2,2,8,0.25,0.0
4,Danielle Gitzen,3,8,3,8,0,0,0,0,2,1,1,1,0,1,2,6,0.0,1.0
11,School Totals,24,71,18,52,6,19,11,20,10,17,10,14,2,12,18,65,0.15492957746478872,0.8333333333333334
