,Miami ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Riquna Williams,8,19,6,11,2,8,10,11,2,7,3,4,1,2,0,28,0.5263157894736842,1.5
1,Morgan Stroman,5,14,5,14,0,0,7,11,5,7,3,4,1,3,2,17,0.5,1.0
2,Shenise Johnson,5,15,4,10,1,5,0,3,9,9,6,2,0,2,4,11,0.0,3.0
3,Sylvia Bullock,2,5,2,5,0,0,2,2,0,1,0,0,4,2,0,6,0.4,0.0
4,Stefanie Yderstrom,3,7,0,0,3,7,2,2,0,4,2,1,1,5,4,11,0.2857142857142857,0.4
9,School Totals,25,66,19,46,6,20,24,33,17,31,15,12,8,14,12,80,0.36363636363636365,1.0714285714285714
