,Georgia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sasha Goodlett,6,8,6,8,0,0,2,7,2,9,0,0,1,3,2,14,0.25,0.0
1,Metra Walthour,4,10,1,2,3,8,4,5,0,1,6,2,0,2,3,15,0.4,3.0
2,Dawnn Maye,0,4,0,3,0,1,5,6,1,2,5,2,0,3,1,5,1.25,1.6666666666666667
3,Tjasa Gortnar,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0.0,0.0
4,Tyaunna Marshall,1,4,1,4,0,0,0,0,1,1,2,1,0,1,3,2,0.0,2.0
11,School Totals,28,56,20,33,8,23,12,19,8,26,20,7,3,17,18,76,0.21428571428571427,1.1764705882352942
