,Georgetown ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sugar Rodgers,4,19,3,11,1,8,5,6,4,2,1,0,2,3,2,14,0.2631578947368421,0.3333333333333333
1,Rubylee Wright,3,6,1,3,2,3,0,1,2,3,3,1,0,4,1,8,0.0,0.75
2,Adria Crawford,1,4,1,4,0,0,2,2,2,4,0,1,1,0,5,4,0.5,0.0
3,Latia Magee,4,10,3,7,1,3,1,4,0,2,2,1,0,2,1,10,0.1,1.0
4,Sydney Wilson,3,8,3,8,0,0,0,0,1,2,1,0,0,1,1,6,0.0,1.0
13,School Totals,23,68,18,52,5,16,13,21,15,20,9,5,3,15,19,64,0.19117647058823528,0.6
