,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittney Sykes,8,19,4,13,4,6,8,8,1,5,5,0,1,2,2,28,0.42105263157894735,2.5
1,Alexis Peterson,10,21,8,16,2,5,3,4,2,2,8,5,1,5,2,25,0.14285714285714285,1.6
2,Gabrielle Cooper,8,15,0,0,8,15,0,0,0,5,2,4,0,0,0,24,0.0,0.0
3,Briana Day,1,7,1,7,0,0,3,4,5,8,0,2,0,3,4,5,0.42857142857142855,0.0
4,Isabella Slim,1,2,0,0,1,2,0,2,4,1,2,2,0,1,4,3,0.0,2.0
11,School Totals,28,67,13,38,15,29,14,18,13,24,18,14,3,12,16,85,0.208955223880597,1.5
