,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lindsay Allen,2,3,2,2,0,1,5,7,0,3,5,1,0,0,2,9,1.6666666666666667,0.0
1,Jewell Loyd,6,11,5,9,1,2,3,6,5,4,0,0,0,4,3,16,0.2727272727272727,0.0
2,Kayla McBride,12,21,11,17,1,4,3,3,1,6,2,2,0,3,1,28,0.14285714285714285,0.6666666666666666
3,Taya Reimer,3,10,3,10,0,0,3,4,2,3,4,0,1,3,4,9,0.3,1.3333333333333333
4,Ariel Braker,1,3,1,3,0,0,0,2,2,0,0,0,1,0,3,2,0.0,0.0
11,School Totals,32,63,29,53,3,10,20,28,16,26,15,5,2,16,16,87,0.31746031746031744,0.9375
