,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lexie Brown,3,10,2,5,1,5,4,6,0,3,8,1,0,2,4,11,0.4,4.0
1,Alyssa Thomas,5,13,4,12,1,1,3,4,0,6,2,1,1,4,4,14,0.23076923076923078,0.5
2,Alicia DeVaughn,1,1,1,1,0,0,5,6,1,4,0,2,1,3,4,7,5.0,0.0
3,Brionna Jones,7,10,7,10,0,0,2,4,1,2,2,0,1,2,3,16,0.2,1.0
4,Katie Rutan,0,1,0,0,0,1,0,0,0,0,2,0,0,1,3,0,0.0,2.0
13,School Totals,22,54,19,42,3,12,14,20,4,16,16,11,3,13,22,61,0.25925925925925924,1.2307692307692308
