,James Madison ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dawn Evans,6,20,4,11,2,9,4,4,0,3,2,0,0,7,2,18,0.2,0.2857142857142857
1,Tarik Hislop,5,10,4,8,1,2,3,3,3,2,1,3,0,5,3,14,0.3,0.2
2,Jalissa Taylor,3,5,3,5,0,0,0,2,4,6,0,2,1,2,1,6,0.0,0.0
3,Sarah Williams,0,7,0,3,0,4,0,0,0,3,2,2,0,0,2,0,0.0,0.0
4,Nikki Newman,1,2,0,0,1,2,0,0,2,3,3,2,0,0,2,3,0.0,0.0
9,School Totals,21,59,17,41,4,18,7,15,15,23,9,11,1,19,14,53,0.11864406779661017,0.47368421052631576
