,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Keturah Jackson,37,.670,.625,.250,.250,10.1,12.0,11.0,9.9,8.4,3.9,0.0,5.2,171,74
1,Joy Cheek,35,.439,.400,.133,.133,10.7,12.7,11.6,6.7,3.0,0.0,23.9,26.0,82,89
2,Jasmine Thomas,33,.636,.553,.158,.421,7.6,13.5,10.3,61.2,7.9,0.0,15.1,35.1,130,77
3,Bridgette Mitchell,30,.293,.273,.273,.182,20.8,14.8,18.1,13.3,12.1,0.0,29.6,24.5,62,65
4,Krystal Thomas,28,.483,.500,.000,2.250,4.5,21.2,12.1,6.8,1.9,10.2,33.4,18.6,74,85
6,Karima Christmas,16,,,,,0.0,18.5,8.5,0.0,3.3,0.0,100.0,8.2,0,86
7,Allison Vernerey,10,.167,.167,.000,.000,0.0,0.0,0.0,0.0,5.2,0.0,14.3,30.5,39,88
8,Shay Selby,9,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,102
9,Alexis Rogers,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,43.6,0,102
10,Kathleen Scheer,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,102
11,School Totals,200,.475,.424,.153,.373,43.8,66.7,54.2,50.0,29.9,10.7,24.9,100.0,85.7,75.3
