,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Megan Gustafson,10,14,10,14,0,0,7,7,1,12,4,1,1,2,4,27,0.5,2.0
1,Kathleen Doyle,4,9,3,5,1,4,0,0,1,3,8,3,0,2,4,9,0.0,4.0
2,Tania Davis,4,11,2,5,2,6,0,0,0,2,6,0,0,1,0,10,0.0,6.0
3,Makenzie Meyer,2,6,0,0,2,6,3,4,0,0,4,0,0,3,0,9,0.5,1.3333333333333333
4,Hannah Stewart,8,14,8,14,0,0,0,0,0,11,2,1,1,1,2,16,0.0,2.0
11,School Totals,31,58,24,40,7,18,10,11,2,30,24,7,2,11,13,79,0.1724137931034483,2.1818181818181817
