,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aislinn Konig,4,7,2,3,2,4,0,0,0,1,5,0,0,1,0,10,0.0,5.0
1,Kai Crutchfield,1,7,0,3,1,4,0,0,1,1,2,0,0,1,2,3,0.0,2.0
2,Kiara Leslie,6,20,5,16,1,4,3,4,6,4,2,2,0,2,1,16,0.15,1.0
3,DD Rogers,5,11,5,11,0,0,2,2,3,3,2,4,0,1,2,12,0.18181818181818182,2.0
4,Elissa Cunane,6,19,6,17,0,2,2,3,4,7,0,1,3,3,4,14,0.10526315789473684,0.0
9,School Totals,24,71,20,53,4,18,9,11,15,18,11,7,3,10,10,61,0.1267605633802817,1.1
