,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Danielle Robinson,4,8,4,8,0,0,5,6,0,2,4,4,1,6,1,13,0.625,0.6666666666666666
1,Amanda Thompson,3,9,3,7,0,2,0,0,1,2,3,1,0,2,4,6,0.0,1.5
2,Nyeshia Stevenson,3,7,3,4,0,3,4,4,0,4,1,0,0,3,0,10,0.5714285714285714,0.3333333333333333
3,Abi Olajuwon,8,12,8,12,0,0,3,3,6,5,1,1,0,4,2,19,0.25,0.25
4,Jasmine Hartman,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
10,School Totals,23,47,22,40,1,7,13,15,8,22,11,6,1,22,10,60,0.2765957446808511,0.5
