,Little Rock ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kim Sitzmann,1,13,1,4,0,9,0,0,0,1,1,1,0,2,2,2,0.0,0.5
1,Asriel Rolfe,0,6,0,0,0,6,0,0,1,3,2,2,0,4,2,0,0.0,0.5
2,Shankia Butler,3,5,3,4,0,1,3,5,2,4,2,3,0,3,4,9,0.6,0.6666666666666666
3,Chastity Reed,9,17,9,17,0,0,2,2,0,4,4,4,1,6,1,20,0.11764705882352941,0.6666666666666666
4,Marian Kursh,4,8,4,8,0,0,1,3,1,2,0,0,0,4,1,9,0.125,0.0
9,School Totals,19,51,19,35,0,16,6,12,5,16,9,11,1,19,16,44,0.11764705882352941,0.47368421052631576
