,Creighton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Lamberty,8,15,8,14,0,1,3,4,2,5,3,0,0,0,1,19,0.2,0.0
1,Marissa Janning,3,8,3,7,0,1,1,2,0,2,2,1,0,3,2,7,0.125,0.6666666666666666
2,Audrey Faber,3,14,2,8,1,6,0,1,0,2,0,0,1,1,2,7,0.0,0.0
3,Lauren Works,1,4,0,3,1,1,0,0,1,0,0,1,0,0,1,3,0.0,0.0
4,Brianna Rollerson,5,10,5,10,0,0,0,0,3,6,0,0,1,2,1,10,0.0,0.0
10,School Totals,22,60,20,50,2,10,6,9,7,18,6,3,2,6,13,52,0.1,1.0
