,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taylor Mikesell,1,9,1,4,0,5,0,0,1,3,3,2,0,3,2,2,0.0,1.0
1,Erin Boley,6,17,4,9,2,8,0,0,4,7,0,0,0,3,0,14,0.0,0.0
2,Nyara Sabally,6,8,6,8,0,0,2,3,3,4,0,0,3,3,1,14,0.25,0.0
3,Sedona Prince,4,10,4,10,0,0,2,2,0,3,1,0,3,0,2,10,0.2,0.0
4,Maddie Scherr,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
11,School Totals,18,56,16,38,2,18,4,5,14,23,7,5,6,14,10,42,0.07142857142857142,0.5
