,Kansas State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Branshea Brown,10,17,10,17,0,0,2,2,1,6,4,0,1,2,3,22,0.11764705882352941,2.0
1,Brittany Chambers,3,7,3,6,0,1,0,0,1,1,2,0,0,2,1,6,0.0,1.0
2,Mariah White,1,3,0,1,1,2,6,7,0,2,5,1,0,2,2,9,2.0,2.5
3,Jalana Childs,6,13,6,13,0,0,3,3,4,4,0,0,0,3,1,15,0.23076923076923078,0.0
4,Tasha Dickey,3,6,1,1,2,5,0,0,0,1,0,0,0,0,5,8,0.0,0.0
9,School Totals,25,54,20,39,5,15,12,14,7,16,16,2,4,9,14,67,0.2222222222222222,1.7777777777777777
