,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
,Unnamed: 0_level_1,1,2,3,4,OT,T
0,Notre Dame,24,10,23,22,12,91
1,UConn,14,27,19,19,10,89
