,Georgia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lotta-Maj Lahtinen,9,16,5,7,4,9,0,0,2,2,2,3,1,4,0,22,0.0,0.5
1,Lorela Cubaj,10,17,10,16,0,1,1,2,4,8,1,0,1,3,3,21,0.058823529411764705,0.3333333333333333
2,Kierra Fletcher,6,12,5,10,1,2,1,3,2,4,4,1,2,3,3,14,0.08333333333333333,1.3333333333333333
3,Loyal McQueen,1,2,0,1,1,1,2,2,0,1,1,0,0,2,0,5,1.0,0.5
4,Nerea Hermosa,0,3,0,3,0,0,2,2,0,3,1,0,0,2,3,2,0.6666666666666666,0.5
9,School Totals,29,56,23,42,6,14,9,13,11,20,11,7,4,14,10,73,0.16071428571428573,0.7857142857142857
