,West Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kirsten Deans,3,11,2,5,1,6,4,4,0,1,5,2,0,4,4,11,0.36363636363636365,1.25
1,Kysre Gondrezick,1,6,0,3,1,3,0,0,0,2,3,2,0,2,0,3,0.0,1.5
2,Jayla Hemingway,3,7,2,3,1,4,0,0,2,0,2,0,0,3,3,7,0.0,0.6666666666666666
3,Esmery Martinez,5,10,5,10,0,0,3,4,2,7,0,1,1,3,5,13,0.3,0.0
4,Kari Niblack,5,7,5,7,0,0,2,2,2,4,2,2,3,2,4,12,0.2857142857142857,1.0
10,School Totals,21,48,17,33,4,15,10,12,6,16,12,7,4,14,16,56,0.20833333333333334,0.8571428571428571
