,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashley Barlow,5,12,4,8,1,4,2,2,2,1,3,1,0,0,0,13,0.16666666666666666,0.0
1,Lindsay Schrader,3,6,3,6,0,0,2,4,0,6,2,1,1,1,1,8,0.3333333333333333,2.0
2,Melissa Lechlitner,3,11,3,9,0,2,0,0,0,1,4,1,0,1,1,6,0.0,4.0
3,Skylar Diggins,1,4,1,3,0,1,5,5,1,6,8,3,1,5,4,7,1.25,1.6
4,Erica Williamson,4,6,4,6,0,0,0,0,0,4,0,1,0,2,1,8,0.0,0.0
12,School Totals,33,64,30,53,3,11,17,23,10,28,25,13,2,14,15,86,0.265625,1.7857142857142858
