,Stephen F. Austin ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Stephanie Visscher,5,18,3,12,2,6,2,2,2,10,0,1,2,3,2,14,0.1111111111111111,0.0
1,Marissa Banfield,2,4,0,0,2,4,0,0,0,2,3,0,0,3,0,6,0.0,1.0
2,Aiyana Johnson,1,8,1,7,0,1,0,0,0,2,3,0,1,1,5,2,0.0,3.0
3,Zya Nugent,1,5,0,2,1,3,0,0,0,1,2,0,0,1,4,3,0.0,2.0
4,Alyssa Mayfield,2,5,2,3,0,2,0,0,0,1,0,0,0,1,1,4,0.0,0.0
9,School Totals,18,63,12,41,6,22,10,12,8,27,13,3,5,11,21,52,0.15873015873015872,1.1818181818181819
