,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,A'ja Wilson,7,14,7,14,0,0,7,7,4,7,0,0,2,2,4,21,0.5,0.0
1,Allisha Gray,4,10,4,10,0,0,3,3,2,6,2,0,0,2,3,11,0.3,1.0
2,Tyasha Harris,1,1,0,0,1,1,0,2,0,1,3,0,0,2,3,3,0.0,1.5
3,Kaela Davis,6,13,4,6,2,7,6,8,0,3,4,2,0,2,4,20,0.46153846153846156,2.0
4,Bianca Cuevas-Moore,1,8,0,4,1,4,4,4,0,2,0,4,0,1,2,7,0.5,0.0
7,School Totals,22,50,18,38,4,12,23,28,6,22,11,10,5,12,20,71,0.46,0.9166666666666666
