,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Vandersloot,8,10,7,9,1,1,12,14,0,5,7,7,0,7,0,29,1.2,1.0
1,Katelan Redmon,5,14,5,13,0,1,0,0,3,4,1,2,0,3,2,10,0.0,0.3333333333333333
2,Janelle Bekkering,3,11,3,9,0,2,9,10,3,0,2,3,0,0,3,15,0.8181818181818182,0.0
3,Kelly Bowen,4,9,3,6,1,3,3,4,2,5,1,1,0,1,1,12,0.3333333333333333,1.0
4,Kayla Standish,4,10,4,10,0,0,0,0,1,2,0,0,2,2,4,8,0.0,0.0
9,School Totals,25,57,23,50,2,7,24,28,10,20,12,13,3,13,15,76,0.42105263157894735,0.9230769230769231
