,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aleah Goodman,8,12,5,7,3,5,5,6,0,5,5,0,0,0,1,24,0.4166666666666667,0.0
1,Taya Corosdale,2,2,0,0,2,2,0,0,1,3,0,1,0,1,1,6,0.0,0.0
2,Taylor Jones,8,17,8,17,0,0,2,5,2,6,1,2,2,1,2,18,0.11764705882352941,1.0
3,Sasha Goforth,5,7,4,5,1,2,3,3,0,3,0,1,1,4,2,14,0.42857142857142855,0.0
4,Ellie Mack,2,3,2,2,0,1,2,2,2,3,1,0,0,1,2,6,0.6666666666666666,1.0
11,School Totals,32,58,25,43,7,15,12,16,8,30,15,6,3,12,12,83,0.20689655172413793,1.25
