,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kourtney Weber,4,12,1,5,3,7,0,0,1,2,1,0,0,0,1,11,0.0,0.0
1,Bianca Jackson,6,16,4,12,2,4,3,4,0,3,2,2,0,1,3,17,0.1875,2.0
2,Sammie Puisis,2,6,0,1,2,5,0,0,0,2,0,2,1,1,0,6,0.0,0.0
3,Morgan Jones,2,8,2,8,0,0,0,0,0,5,2,0,2,2,2,4,0.0,1.0
4,Valencia Myers,2,5,2,5,0,0,2,2,1,1,2,1,1,0,5,6,0.4,0.0
9,School Totals,22,62,14,43,8,19,7,8,3,19,13,6,6,10,14,59,0.11290322580645161,1.3
