,Missouri ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sophie Cunningham,10,16,9,11,1,5,14,16,0,2,1,2,0,5,4,35,0.875,0.2
1,Lauren Aldridge,1,6,0,2,1,4,6,6,1,1,2,0,0,0,4,9,1.0,0.0
2,Amber Smith,0,4,0,1,0,3,2,2,0,0,0,0,0,1,3,2,0.5,0.0
3,Cierra Porter,4,9,4,6,0,3,0,0,0,3,1,0,0,1,5,8,0.0,1.0
4,Jordan Frericks,1,2,1,2,0,0,0,0,1,8,2,0,3,3,5,2,0.0,0.6666666666666666
13,School Totals,21,52,17,28,4,24,24,28,7,27,13,6,3,15,30,70,0.46153846153846156,0.8666666666666667
