,Florida Gulf Coast ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taylor Gradinjan,1,3,1,2,0,1,1,4,1,2,0,0,0,3,3,3,0.3333333333333333,0.0
1,Nasrin Ulel,4,5,4,4,0,1,1,4,0,5,0,1,0,1,3,9,0.2,0.0
2,Tytionia Adderly,2,5,1,4,1,1,2,2,3,6,2,0,0,1,3,7,0.4,2.0
3,Rosemarie Julien,3,6,2,4,1,2,5,7,0,1,1,0,0,0,5,12,0.8333333333333334,0.0
4,Erica Nelson,4,10,3,7,1,3,2,2,0,0,4,1,0,0,5,11,0.2,0.0
10,School Totals,25,51,18,34,7,17,23,37,5,21,12,5,0,9,26,80,0.45098039215686275,1.3333333333333333
