,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lexie Hull,14,21,8,10,6,11,2,2,1,5,3,6,0,2,0,36,0.09523809523809523,1.5
1,Cameron Brink,5,11,4,9,1,2,2,2,3,9,4,2,2,2,0,13,0.18181818181818182,2.0
2,Haley Jones,3,5,3,5,0,0,1,2,1,0,4,0,2,3,3,7,0.2,1.3333333333333333
3,Lacie Hull,2,4,1,1,1,3,2,2,0,1,0,0,0,2,3,7,0.5,0.0
4,Anna Wilson,1,3,0,1,1,2,0,0,1,1,2,1,0,1,2,3,0.0,2.0
15,School Totals,34,60,21,34,13,26,10,11,9,23,19,11,5,14,13,91,0.16666666666666666,1.3571428571428572
