,Middle Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Olivia Jones,3,10,1,4,2,6,0,0,2,8,0,3,0,1,1,8,0.0,0.0
1,Ebony Rowe,7,23,7,19,0,4,3,6,6,5,2,0,1,3,2,17,0.13043478260869565,0.6666666666666666
2,KeKe Stewart,1,4,1,2,0,2,0,0,1,0,0,0,0,0,3,2,0.0,0.0
3,Shanice Cason,1,6,1,5,0,1,0,0,1,1,1,1,0,0,4,2,0.0,0.0
4,Laken Leonard,0,3,0,3,0,0,2,2,0,0,0,1,0,2,1,2,0.6666666666666666,0.0
14,School Totals,14,61,12,44,2,17,6,13,14,20,4,7,2,11,17,36,0.09836065573770492,0.36363636363636365
