,Green Bay ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Mehryn Kraker,9,24,4,7,5,17,0,0,1,2,1,0,2,2,4,23,0.0,0.5
1,Allie LeClaire,3,9,2,4,1,5,0,0,1,0,1,1,0,2,5,7,0.0,0.5
2,Jessica Lindstrom,5,15,2,7,3,8,2,3,9,3,2,2,3,1,5,15,0.13333333333333333,2.0
3,Jen Wellnitz,1,7,1,6,0,1,0,0,1,1,7,5,0,4,1,2,0.0,1.75
4,Lexi Weitzer,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0
10,School Totals,23,70,13,34,10,36,6,7,18,9,14,11,5,11,25,62,0.08571428571428572,1.2727272727272727
