,Purdue ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashley Morrissette,7,16,4,12,3,4,7,7,1,0,2,2,0,7,2,24,0.4375,0.2857142857142857
1,Andreona Keys,1,4,0,2,1,2,6,6,2,5,6,2,0,2,3,9,1.5,3.0
2,Dominique Oden,3,6,1,1,2,5,5,6,1,2,2,2,0,2,1,13,0.8333333333333334,1.0
3,Ae'Rianna Harris,6,6,6,6,0,0,0,0,1,6,1,1,3,3,3,12,0.0,0.3333333333333333
4,Bridget Perry,1,3,1,2,0,1,3,6,0,4,2,0,0,3,3,5,1.0,0.6666666666666666
9,School Totals,21,41,15,29,6,12,26,30,8,27,14,8,5,21,16,74,0.6341463414634146,0.6666666666666666
