,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aleah Goodman,4,15,2,9,2,6,0,0,0,4,6,1,0,3,0,10,0.0,2.0
1,Taya Corosdale,0,3,0,0,0,3,0,0,0,3,2,2,1,0,3,0,0.0,0.0
2,Sasha Goforth,3,8,3,7,0,1,0,0,1,3,1,1,2,4,2,6,0.0,0.25
3,Ellie Mack,0,5,0,0,0,5,0,0,0,2,1,0,1,3,1,0,0.0,0.3333333333333333
4,Taylor Jones,6,10,6,10,0,0,1,3,1,3,0,0,2,0,5,13,0.1,0.0
9,School Totals,18,57,15,38,3,19,3,6,5,26,11,6,8,13,14,42,0.05263157894736842,0.8461538461538461
