,Kansas State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kindred Wesemann,2,10,0,3,2,7,2,4,0,3,7,2,0,2,2,8,0.2,3.5
1,Megan Deines,6,12,6,9,0,3,2,3,0,1,2,2,0,2,3,14,0.16666666666666666,1.0
2,Shaelyn Martin,2,8,1,6,1,2,2,2,1,8,6,1,0,3,4,7,0.25,2.0
3,Breanna Lewis,6,11,6,11,0,0,1,6,2,6,0,0,6,2,5,13,0.09090909090909091,0.0
4,Kaylee Page,1,3,0,1,1,2,0,0,0,0,0,0,2,3,3,3,0.0,0.0
9,School Totals,21,55,17,39,4,16,10,21,4,21,18,7,10,14,23,56,0.18181818181818182,1.2857142857142858
