,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kelsey Bolte,33,.500,.500,.500,.000,8.1,6.6,7.2,10.6,3.5,0.0,14.3,21.1,109,65
1,Alison Lacey,29,.438,.438,.500,.000,0.0,14.9,8.2,38.8,2.0,0.0,27.3,18.8,100,64
2,Anna Prins,27,.619,.594,.063,.125,19.8,24.0,22.1,9.5,0.0,5.5,15.1,36.5,120,62
3,Denae Stuckey,25,.000,.000,.000,.000,10.7,13.0,11.9,5.5,4.7,0.0,28.6,13.9,30,59
4,Chelsea Poppens,17,.918,.833,.000,1.333,15.7,38.2,28.1,13.7,0.0,0.0,17.4,33.6,164,56
6,Amanda Zimmerman,20,1.007,1.167,.333,.333,13.3,5.4,9.0,8.7,0.0,7.4,22.5,11.0,147,71
7,Whitney Williams,20,.600,.600,.800,.000,0.0,10.8,6.0,16.0,0.0,0.0,0.0,12.4,157,71
8,Jessica Schroll,12,1.026,1.000,.000,2.000,0.0,27.0,14.9,0.0,0.0,12.3,34.7,11.9,131,57
9,Chassidy Cole,5,,,,,0.0,0.0,0.0,27.6,0.0,0.0,,0.0,224,77
10,Anna Florzak,4,1.053,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,250,77
11,Genesis Lightbourne,4,.500,.500,.000,.000,33.3,54.1,44.8,0.0,0.0,0.0,33.3,37.2,79,48
12,Shellie Mosman,4,.000,.000,1.000,.000,0.0,54.1,29.9,0.0,0.0,0.0,0.0,12.4,0,48
13,School Totals,200,.597,.551,.288,.254,43.3,83.8,65.7,55.2,7.2,11.1,18.5,100.0,114.5,60.9
