,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Audrey Warren,6,16,5,13,1,3,6,7,6,1,0,0,0,2,0,19,0.375,0.0
1,Charli Collier,8,11,7,9,1,2,6,8,7,8,0,0,1,3,0,23,0.5454545454545454,0.0
2,Kyra Lambert,3,8,2,5,1,3,1,1,0,0,3,0,0,0,0,8,0.125,0.0
3,Joanne Allen-Taylor,4,11,1,5,3,6,1,2,1,3,2,0,0,0,4,12,0.09090909090909091,0.0
4,Celeste Taylor,4,16,4,13,0,3,0,0,2,5,3,4,2,2,3,8,0.0,1.5
10,School Totals,27,69,20,49,7,20,20,26,16,19,13,6,3,9,14,81,0.2898550724637681,1.4444444444444444
