,West Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Christal Caldwell,3,19,2,10,1,9,3,6,3,0,1,2,0,3,1,10,0.15789473684210525,0.3333333333333333
1,Bria Holmes,5,11,4,5,1,6,1,2,1,1,3,3,1,5,1,12,0.09090909090909091,0.6
2,Asya Bussie,4,8,4,8,0,0,13,15,6,2,1,0,2,1,3,21,1.625,1.0
3,Averee Fields,1,8,1,8,0,0,2,2,4,5,0,2,1,0,4,4,0.25,0.0
4,Linda Stepney,2,2,0,0,2,2,0,0,0,1,0,0,0,0,5,6,0.0,0.0
10,School Totals,19,63,14,41,5,22,24,32,16,18,12,11,5,13,22,67,0.38095238095238093,0.9230769230769231
