,Marquette ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Natisha Hiedeman,4,18,3,10,1,8,4,4,1,5,2,1,1,2,2,13,0.2222222222222222,1.0
1,Selena Lott,4,8,3,3,1,5,0,0,3,5,0,5,1,1,0,9,0.0,0.0
2,Amani Wilborn,4,7,4,5,0,2,0,0,1,3,3,2,1,1,3,8,0.0,3.0
3,Lauren Van Kleunen,4,14,4,14,0,0,2,2,4,5,5,2,0,3,0,10,0.14285714285714285,1.6666666666666667
4,Danielle King,2,7,2,5,0,2,2,2,3,3,1,0,1,4,2,6,0.2857142857142857,0.25
8,School Totals,23,68,19,45,4,23,8,8,14,23,11,10,4,15,13,58,0.11764705882352941,0.7333333333333333
