,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Louisiana State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Diana Delva,35,.550,.556,.111,.444,14.7,8.6,11.3,11.1,0.0,7.0,21.8,22.1,90,99
1,Jackie Smith,33,.000,.000,.556,.000,0.0,3.0,1.7,22.7,3.7,0.0,30.8,22.2,10,98
2,Ruthanne Doherty,21,.125,.125,.125,.000,0.0,19.0,10.7,13.5,5.8,0.0,11.1,24.1,29,80
3,Jenna Peterson,16,.000,.000,.000,.000,8.1,18.8,14.1,15.6,3.8,0.0,0.0,3.5,61,85
4,Daphne Elliott,14,.000,.000,.000,.000,0.0,14.3,8.0,17.9,0.0,0.0,0.0,4.0,36,97
6,Ilicia Mathis,23,.477,.438,.375,.375,0.0,13.0,7.3,32.3,0.0,0.0,17.7,27.7,83,98
7,Alex Hall,18,.417,.417,.500,.000,0.0,0.0,0.0,19.2,0.0,0.0,0.0,18.8,87,108
8,Mary Silvia,14,.000,.000,.750,.000,0.0,28.6,16.1,17.9,0.0,0.0,20.0,20.1,8,86
9,Kacey Pratt,12,.500,.500,.000,.000,10.8,16.7,14.1,0.0,5.1,13.6,60.0,23.4,38,80
10,Nikkia Smith,10,.600,.600,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,112,108
11,Amanda Weaver,2,1.500,1.500,1.000,.000,0.0,50.0,28.2,0.0,0.0,0.0,0.0,28.1,300,69
12,Keyokah Mars-Garrick,2,,,,,0.0,0.0,0.0,100.0,30.4,0.0,,0.0,219,44
13,School Totals,200,.340,.324,.315,.130,19.4,57.5,40.8,75.0,10.6,10.2,19.6,100.0,59.1,90.9
