,Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jocelyn Willoughby,1,7,1,7,0,0,4,4,3,4,0,0,0,2,5,6,0.5714285714285714,0.0
1,Dominique Toussaint,6,15,3,7,3,8,1,2,0,4,4,1,0,2,3,16,0.06666666666666667,2.0
2,J'Kyra Brown,5,14,1,5,4,9,2,2,0,2,1,0,0,2,0,16,0.14285714285714285,0.5
3,Aliyah Huland El,2,6,2,4,0,2,3,4,1,2,1,1,2,0,2,7,0.5,0.0
4,Lauren Moses,2,7,2,7,0,0,2,4,0,2,2,1,0,1,3,6,0.2857142857142857,2.0
9,School Totals,18,57,11,37,7,20,13,18,8,16,10,4,4,10,18,56,0.22807017543859648,1.0
