,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Walker,8,16,7,15,1,1,1,2,0,7,1,1,0,3,5,18,0.0625,0.3333333333333333
1,Jordan Jones,1,7,0,4,1,3,2,2,0,1,9,2,0,5,1,5,0.2857142857142857,1.8
2,Anriel Howard,4,8,4,8,0,0,0,0,4,9,1,1,1,3,5,8,0.0,0.3333333333333333
3,Chelsea Jennings,7,13,6,10,1,3,0,0,0,1,1,0,0,2,3,15,0.0,0.5
4,Khaalia Hillsman,2,5,2,5,0,0,2,2,2,1,0,0,2,1,3,6,0.4,0.0
10,School Totals,24,62,21,49,3,13,5,6,7,20,14,4,5,16,22,56,0.08064516129032258,0.875
