,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Wiese,7,15,1,2,6,13,6,6,1,4,4,0,0,4,0,26,0.4,1.0
1,Deven Hunter,2,12,2,10,0,2,0,0,3,8,6,1,1,2,1,4,0.0,3.0
2,Ali Gibson,3,7,1,2,2,5,1,2,1,2,1,3,2,0,2,9,0.14285714285714285,0.0
3,Alyssa Martin,2,3,0,0,2,3,0,0,0,5,1,0,1,0,0,6,0.0,0.0
4,Ruth Hamblin,1,4,1,4,0,0,1,2,0,4,0,0,5,2,4,3,0.25,0.0
11,School Totals,18,55,8,27,10,28,9,13,12,32,13,6,10,13,16,55,0.16363636363636364,1.0
