,Unnamed: 0_level_0,Unnamed: 1_level_0,Four Factors,Four Factors,Four Factors,Four Factors,Unnamed: 6_level_0
,Unnamed: 0_level_1,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
0,Prairie View,69.8,0.225,22.4,20.5,0.05,42.9
1,Baylor,69.8,0.464,16.0,50.0,0.273,94.3
