,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Que Morrison,4,13,4,10,0,3,3,3,5,7,8,3,0,6,0,11,0.23076923076923078,1.3333333333333333
1,Mikayla Coombs,3,9,3,9,0,0,2,3,2,0,2,1,1,2,2,8,0.2222222222222222,1.0
2,Maya Caldwell,1,9,1,8,0,1,0,2,5,3,1,0,2,0,0,2,0.0,0.0
3,Malury Bates,2,5,2,5,0,0,4,4,3,2,0,0,2,2,1,8,0.8,0.0
4,Jordan Isaacs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
10,School Totals,24,58,20,46,4,12,15,20,18,25,14,6,6,17,4,67,0.25862068965517243,0.8235294117647058
