,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Tennessee ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Brittney Griner,40,.558,.444,.000,.722,0.0,14.0,9.1,11.1,0.0,16.7,4.0,32.5,117,81
1,Kelli Griffin,36,.463,.143,.143,1.143,0.0,13.3,8.7,31.3,1.5,0.0,0.0,15.4,126,89
2,Morghan Medlock,33,.667,.667,.000,.000,13.5,19.4,17.3,6.5,0.0,2.0,25.0,19.1,104,84
3,Melissa Jones,33,.588,.500,.600,.400,0.0,14.5,9.4,15.4,1.7,4.0,33.8,14.2,87,84
4,Shanay Washington,6,.000,.000,.000,.000,24.7,0.0,8.7,0.0,0.0,0.0,0.0,8.8,69,102
6,Terran Condrey,21,1.333,1.333,.667,.000,0.0,3.8,2.5,37.6,0.0,0.0,25.0,10.0,179,97
7,Kimetria Hayden,17,.750,.750,.000,.000,0.0,4.7,3.1,12.4,0.0,0.0,33.3,18.6,89,99
8,Jordan Madden,14,.504,.500,.167,.333,10.6,22.9,18.6,0.0,0.0,0.0,22.5,33.4,79,85
9,School Totals,200,.593,.519,.132,.472,18.5,66.0,49.4,69.2,2.7,21.7,15.6,100.0,105.5,84.9
