,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Makenzie Robertson,3,7,0,1,3,6,0,0,2,3,1,1,0,0,3,9,0.0,0.0
1,Odyssey Sims,11,23,10,19,1,4,2,3,0,3,7,3,0,1,3,25,0.08695652173913043,7.0
2,Nina Davis,6,13,6,13,0,0,8,10,3,5,1,0,0,1,2,20,0.6153846153846154,1.0
3,Niya Johnson,3,6,3,6,0,0,5,6,0,3,11,0,0,1,3,11,0.8333333333333334,11.0
4,Sune Agbuke,1,3,1,3,0,0,0,0,1,6,2,1,2,1,3,2,0.0,2.0
11,School Totals,32,67,28,57,4,10,22,27,12,28,23,6,4,8,17,90,0.3283582089552239,2.875
