,Princeton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Blake Dietrick,10,18,8,11,2,7,4,4,1,1,0,3,0,0,0,26,0.2222222222222222,0.0
1,Annie Tarakchian,3,11,2,5,1,6,0,0,1,5,6,3,1,2,4,7,0.0,3.0
2,Michelle Miller,1,10,1,7,0,3,0,0,3,5,0,0,0,0,2,2,0.0,0.0
3,Alex Wheatley,5,10,5,10,0,0,0,0,2,1,0,1,1,3,4,10,0.0,0.0
4,Amanda Berntsen,1,2,1,2,0,0,2,2,0,1,0,0,0,1,0,4,1.0,0.0
8,School Totals,29,63,25,46,4,17,8,10,10,16,11,9,2,8,13,70,0.12698412698412698,1.375
