,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lexie Brown,8,16,3,5,5,11,2,2,1,5,4,0,0,6,2,23,0.125,0.6666666666666666
1,Laurin Mincy,9,11,3,4,6,7,3,4,0,4,7,0,0,3,0,27,0.2727272727272727,2.3333333333333335
2,Shatori Walker-Kimbrough,4,12,4,11,0,1,2,2,1,3,0,1,1,1,3,10,0.16666666666666666,0.0
3,Brionna Jones,3,6,3,6,0,0,4,7,6,4,0,0,1,1,2,10,0.6666666666666666,0.0
4,Malina Howard,1,2,1,2,0,0,0,0,0,2,0,0,0,1,1,2,0.0,0.0
10,School Totals,31,58,19,38,12,20,11,15,10,24,14,2,2,12,11,85,0.1896551724137931,1.1666666666666667
