,Robert Morris ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Anna Niki Stamolamprou,4,14,1,4,3,10,0,0,0,3,2,2,0,9,2,11,0.0,0.2222222222222222
1,Ashley Ravelli,3,6,1,3,2,3,0,0,0,2,5,2,0,2,1,8,0.0,2.5
2,Lou Mataly,2,7,0,3,2,4,0,0,0,1,1,0,0,3,2,6,0.0,0.3333333333333333
3,Mikalah Mulrain,2,3,2,3,0,0,2,2,1,1,0,1,1,2,2,6,0.6666666666666666,0.0
4,Megan Smith,1,2,1,2,0,0,0,0,0,1,0,0,0,2,4,2,0.0,0.0
12,School Totals,18,47,9,27,9,20,4,6,4,12,10,5,2,28,20,49,0.0851063829787234,0.35714285714285715
