,St. John's ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Joy McCorvey,1,5,1,5,0,0,0,2,1,2,2,2,1,1,3,2,0.0,2.0
1,Nadirah McKenith,5,9,5,9,0,0,0,1,2,0,4,2,0,3,2,10,0.0,1.3333333333333333
2,Shenneika Smith,6,9,6,8,0,1,1,1,1,11,1,3,0,4,0,13,0.1111111111111111,0.25
3,Da'Shena Stevens,9,13,9,13,0,0,1,3,2,4,0,0,0,3,4,19,0.07692307692307693,0.0
4,Sky Lindsay,3,8,3,7,0,1,2,2,0,1,0,3,0,1,2,8,0.25,0.0
10,School Totals,27,59,26,49,1,10,10,18,12,27,7,11,1,12,14,65,0.1694915254237288,0.5833333333333334
