,Princeton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lauren Edwards,3,14,3,13,0,1,2,2,6,7,1,1,0,6,0,8,0.14285714285714285,0.16666666666666666
1,Niveen Rasheed,5,14,5,14,0,0,1,2,2,6,1,1,1,1,3,11,0.07142857142857142,1.0
2,Addie Micir,1,10,1,5,0,5,1,1,2,0,2,0,0,2,3,3,0.1,1.0
3,Devona Allgood,3,10,3,10,0,0,2,4,1,2,0,2,1,3,2,8,0.2,0.0
4,Lauren Polansky,1,2,1,2,0,0,0,0,2,2,4,0,0,1,1,2,0.0,4.0
12,School Totals,17,60,16,50,1,10,12,15,14,24,9,5,3,16,15,47,0.2,0.5625
