,Oklahoma State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittney Martin,6,15,6,15,0,0,11,13,2,11,2,1,2,4,3,23,0.7333333333333333,0.5
1,Sydney Walton,5,10,2,5,3,5,0,0,0,1,2,1,0,1,2,13,0.0,2.0
2,Mandy Coleman,2,8,1,3,1,5,2,4,2,5,2,2,0,2,3,7,0.25,1.0
3,Roddricka Patton,1,3,0,0,1,3,1,2,1,1,1,1,1,5,1,4,0.3333333333333333,0.2
4,Kaylee Jensen,0,3,0,3,0,0,3,8,0,1,2,0,0,2,3,3,1.0,1.0
10,School Totals,15,44,9,29,6,15,18,29,5,21,12,6,4,17,18,54,0.4090909090909091,0.7058823529411765
